Community Area,Community Area Name,Deaths 2005,Deaths 2006,Deaths 2007,Deaths 2008,Deaths 2009
1,Rogers Park,7,8,7,2,5
2,West Ridge,9,5,8,4,5
3,Uptown,2,7,4,7,5
4,Lincoln Square,2,2,3,3,2
5,North Center,1,1,3,2,2
6,Lake View,4,1,3,4,1
7,Lincoln Park,1,3,2,2,2
8,Near North Side,6,6,5,4,5
9,Edison Park,0,0,1,0,2
10,Norwood Park,3,2,2,1,1
11,Jefferson Park,0,4,6,4,0
12,Forest Glen,0,3,0,1,0
13,North Park,1,0,2,1,2
14,Albany Park,5,9,1,3,6
15,Portage Park,6,6,4,3,3
16,Irving Park,4,6,5,2,7
17,Dunning,6,1,0,4,1
18,Montclaire,0,2,1,0,2
19,Belmont Cragin,9,10,10,9,8
20,Hermosa,5,5,4,4,7
21,Avondale,6,6,4,4,2
22,Logan Square,8,3,6,8,4
23,Humboldt Park,9,12,14,16,10
24,West Town,8,10,7,4,8
25,Austin,24,27,21,24,29
26,West Garfield Park,7,9,11,4,6
27,East Garfield Park,2,3,4,9,4
28,Near West Side,9,8,5,11,5
29,North Lawndale,8,11,9,13,12
30,South Lawndale,13,6,7,9,16
31,Lower West Side,3,6,5,3,2
32,Loop,2,1,1,2,0
33,Near South Side,3,0,1,3,1
34,Armour Square,0,1,0,0,0
35,Douglas,3,5,3,2,2
36,Oakland,0,0,2,1,1
37,Fuller Park,1,1,3,0,0
38,Grand Boulevard,4,3,3,4,5
39,Kenwood,0,3,5,2,0
40,Washington Park,6,3,7,5,3
41,Hyde Park,3,2,2,5,2
42,Woodlawn,6,0,4,10,3
43,South Shore,14,9,7,11,8
44,Chatham,7,4,7,3,4
45,Avalon Park,0,4,1,0,2
46,South Chicago,14,11,10,5,13
47,Burnside,2,0,1,0,0
48,Calumet Heights,1,3,5,1,1
49,Roseland,6,4,8,6,9
50,Pullman,2,2,2,2,0
51,South Deering,3,0,4,4,3
52,East Side,1,1,1,1,4
53,West Pullman,8,8,5,5,7
54,Riverdale,1,1,0,0,2
55,Hegewisch,1,0,2,1,1
56,Garfield Ridge,3,4,2,2,0
57,Archer Heights,2,3,0,0,2
58,Brighton Park,4,7,6,5,8
59,McKinley Park,3,1,2,2,2
60,Bridgeport,1,4,5,4,3
61,New City,9,8,8,10,7
62,West Elsdon,5,1,5,2,1
63,Gage Park,7,4,6,4,5
64,Clearing,2,1,1,4,3
65,West Lawn,7,4,7,6,3
66,Chicago Lawn,17,7,14,16,14
67,West Englewood,12,6,10,9,15
68,Englewood,6,11,10,10,8
69,Greater Grand Crossing,11,9,6,11,5
70,Ashburn,6,9,10,4,2
71,Auburn Gresham,11,14,12,12,11
72,Beverly,2,4,2,3,1
73,Washington Heights,3,3,3,7,4
74,Mount Greenwood,1,0,0,1,2
75,Morgan Park,3,5,6,3,3
76,O'Hare,0,0,0,2,0
77,Edgewater,6,2,1,4,11
0,Chicago,387,360,366,364,355
